name,state,city,ntee_code,geo_tier,verdict,confidence,rejection_reason,assets_end_of_year,asset_amount,grants_paid_total,typical_grant_estimate,grant_history_method,similar_grants_count,propublica_url,ruling_date,most_recent_filing_year
Elston Memorial Foundation,IN,Crawfordsvlle,A50,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/310913802,2011-12-01,
Gl Foundation Inc,IN,Greentown,A61,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/932810284,2023-09-01,
Humanetrix Foundation Inc,IN,Bloomington,A30,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/352147189,2003-07-01,
Icomusic Foundation Corporation,IN,Muncie,A6C,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/931417759,2023-07-01,
Just Play Foundation,IN,Indianapolis,A20,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/991900873,2024-04-01,
Maxinkuckee Theatre Foundation,IN,Culver,A61,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/811586185,2019-11-01,
Melody Culture Foundation,IN,Carmel,A31,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/571216673,2012-08-01,
Midwest Clinic Foundation,IN,Indianapolis,A25,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/881295159,2023-03-01,
Unity Light Foundation,IN,Fort Wayne,A20,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/415097948,2026-04-01,
Avenue Foundation Inc,IN,Indianapolis,A12,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/873018793,2022-06-01,
Community Vision Foundation,IN,Schererville,A23,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/811527401,2019-03-01,
Dana Evans Foundation,IN,Portage,A20,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/423629945,2026-07-01,
Fame Foundation Inc,IN,Indianapolis,A20,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/850547221,2024-03-01,
Mitika Dhunna Foundation,IN,Indianapolis,A23,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/394172936,2026-03-01,
Tony Iriti Foundation,IN,Westfield,A68,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/423439601,2026-07-01,
1886 Church Foundation Corp,IN,Crown Point,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/842506697,2022-02-01,
Unum Mundum Foundation Co,IN,Carmel,A23,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/853684013,2021-01-01,
Line & Form Foundation Inc,IN,Indianapolis,A40,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/841912412,2019-06-01,
People Makers Foundation Inc,IN,Indianapolis,A23,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/832635520,2021-04-01,
Hillcrest Historic Foundation,IN,Indianapolis,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,404939,,,,0,https://projects.propublica.org/nonprofits/organizations/912193514,2005-08-01,
Greater Education Opportunities Foundation,IN,Indianapolis,A33Z,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,21233665,,,,0,https://projects.propublica.org/nonprofits/organizations/954406881,1994-05-01,
Conner Prairie Foundation Inc,IN,Fishers,A11,1,fail,,IRS foundation_code=21 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,211992464,,,,0,https://projects.propublica.org/nonprofits/organizations/203402547,2005-11-01,
Embassy Theatre Foundation Inc,IN,Fort Wayne,A610,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,21676845,,,,0,https://projects.propublica.org/nonprofits/organizations/237355731,1974-05-01,
Historic Madison Foundation Inc,IN,Madison,A82Z,1,fail,,IRS foundation_code=17 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,12929356,,,,0,https://projects.propublica.org/nonprofits/organizations/351833602,1991-11-01,
Aspire Higher Foundation Inc,IN,Indianapolis,A20,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,1800215,,,,0,https://projects.propublica.org/nonprofits/organizations/832261693,2019-03-01,
Paramount Heritage Foundation Inc,IN,Anderson,A610,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,2772094,,,,0,https://projects.propublica.org/nonprofits/organizations/351774217,1989-08-01,
Dunes Arts Foundation Inc,IN,Michigan City,A65,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,484327,,,,0,https://projects.propublica.org/nonprofits/organizations/356005228,2014-10-01,
Indiana Entertainment Foundation Inc,IN,Indianapolis,A50,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,110270,,,,0,https://projects.propublica.org/nonprofits/organizations/473422989,2016-09-01,
On-stage Foundation Inc,IN,Frankfort,A650,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,120937,,,,0,https://projects.propublica.org/nonprofits/organizations/351324059,1978-08-01,
Woodstock Historical Foundation Inc,IN,Indianapolis,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,1222893,,,,0,https://projects.propublica.org/nonprofits/organizations/208755766,2007-05-01,
Hillforest Historical Foundation Inc,IN,Aurora,A82Z,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,952308,,,,0,https://projects.propublica.org/nonprofits/organizations/351078976,1956-10-01,
Indiana Barn Foundation Incorporated,IN,Indianapolis,A80,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,227449,,,,0,https://projects.propublica.org/nonprofits/organizations/475125047,2015-10-01,
Columbia Club Foundation Inc,IN,Indianapolis,A82I,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,2497061,,,,0,https://projects.propublica.org/nonprofits/organizations/351551735,1983-10-01,
Lagro Canal Foundation Inc,IN,Lagro,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,446810,,,,0,https://projects.propublica.org/nonprofits/organizations/821768966,2025-05-01,
Stockdale Mill Foundation Inc,IN,Denver,A50,1,fail,,Zero grants paid (grntspaid=$0) in all 11 structured 990-PF filings. This is a private OPERATING foundation -- it runs its own programs rather than awarding grants to other nonprofits. The STEAMery ca,318973,347333,,,,0,https://projects.propublica.org/nonprofits/organizations/352157688,2002-04-01,2024
Germania Maennerchor Foundation Inc,IN,Evansville,A23,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/474567469,2015-08-01,
University Club Foundation Inc,IN,Indianapolis,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,167660,,,,0,https://projects.propublica.org/nonprofits/organizations/471913209,2014-11-01,
Bloomington Roots Foundation Inc,IN,Bloomington,A25,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,3018,,,,0,https://projects.propublica.org/nonprofits/organizations/923830305,2023-05-01,
Nuvo Cultural Foundation Inc,IN,Indianapolis,A20,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,17289,,,,0,https://projects.propublica.org/nonprofits/organizations/352045604,1998-11-01,
Aduro Foundation For Humanity,IN,Fort Wayne,A70,1,flag,worth a look,,,900,,,,0,https://projects.propublica.org/nonprofits/organizations/880906568,2022-03-01,
Arab Indianapolis Foundation Inc,IN,Indianapolis,A23,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/862491369,2021-06-01,
Baiyee-mbi Family Foundation,IN,Indianapolis,A23,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/854379442,2021-04-01,
Beacon 14 Foundation Inc,IN,Gary,A12,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/834540457,2019-05-01,
Bk Royston Foundation Inc,IN,Jeffersonvlle,A30,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/851408611,2020-06-01,
Bris Dance Foundation Inc,IN,Gary,A25,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/991211777,2024-08-01,
Childrens Music Foundation Inc,IN,W Lafayette,A68,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/352232039,2004-10-01,
Elcona Historical Foundation Inc,IN,Bristol,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/393217101,2026-03-01,
Ermco Empowers Foundation Inc,IN,Greenwood,A12,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/331384533,2025-10-01,
Fox Hill Dance Foundation,IN,Indianapolis,A62,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/261882275,2008-05-01,
Gary Police Foundation Inc,IN,Gary,A12,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/383942084,2014-11-01,
Giving Note Foundation Incorporated,IN,Fishers,A12,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/883421805,2022-09-01,
Hawkins Family Foundation Inc,IN,South Bend,A70,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/825349344,2018-07-01,
Historic Flights Foundation Inc,IN,Kokomo,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/431955623,2002-09-01,
Joes Hope Foundation Inc,IN,Rochester,A12,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/853140529,2020-12-01,
Lockerbie Square Foundation Inc,IN,Indianapolis,A800,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/352031662,1998-04-01,
Max Music Well Foundation,IN,Jeffersonville,A68,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/923236640,2023-04-01,
Mcgowan Hall Foundation Inc,IN,Indianapolis,A80,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/812237481,2016-06-01,
Open Field Foundation Inc,IN,Indianapolis,A12,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/393805610,2025-09-01,
Queens Are Chosen Foundation,IN,Indianapolis,A23,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/881358547,2022-04-01,
Randy Mullins Scholarship Foundation,IN,Batesville,A68,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/334391042,2025-05-01,
Rebecca Ryan Foundation Inc,IN,Westville,A25,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/834439419,2023-10-01,
Scottish Foundation Of Indianapolis,IN,Fishers,A23,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/452427988,2011-06-01,
Thompkins Family Foundation Inc,IN,Valparaiso,A12,1,fail,,"Assets too low ($27,560) -- likely dormant or inactive. Minimum threshold: $50,000.",27560,27560,,,,0,https://projects.propublica.org/nonprofits/organizations/843765414,2020-02-01,2021
Veterans Memorial Foundation Inc,IN,Knightstown,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/300385977,2008-09-01,
Wes Montgomery Legacy Foundation,IN,Indianapolis,A68,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/872666023,2022-03-01,
4th St Foundation Inc,IN,Richmond,A12,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/992531795,2024-05-01,
Family Folklore Foundation Incorporated,IN,Crown Point,A24,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/300589517,2013-06-01,
Greatest Djs Music Foundation,IN,Indianapolis,A68,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/883468652,2022-09-01,
Ik Onkar Foundation Inc,IN,South Bend,A23,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/830571128,2023-11-01,
Just Love Foundation Inc,IN,Indianapolis,A19,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/994749010,2024-09-01,
Kade Stone Foundation Inc,IN,Indianapolis,A01,1,fail,,"No 990-PF filings found -- not confirmed as a private foundation. May be a public charity, or may have never filed.",,,,,,0,https://projects.propublica.org/nonprofits/organizations/334952464,2025-07-01,
Newburgh Museum Foundation Corporation,IN,Newburgh,A54,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/452994195,2025-01-01,
Onunwa Foundation For Humanity,IN,Fort Wayne,A70,1,fail,,"No 990-PF filings found -- not confirmed as a private foundation. May be a public charity, or may have never filed.",,,,,,0,https://projects.propublica.org/nonprofits/organizations/334445257,2025-05-01,
Rhine Hall Community Foundation,IN,Kokomo,A61,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/422690835,2026-06-01,
Sew What Foundation Inc,IN,Merrillville,A90,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/881684254,2022-04-01,
Thomas P Turner Foundation,IN,Greenfield,A12,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/873073270,2022-03-01,
Tiegame Media Foundation Inc,IN,Indianapolis,A30,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/412454135,2025-11-01,
Veterans Coliseum Preservation Foundation,IN,Evansville,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/332920693,2025-06-01,
Visual Evidence Foundation Inc,IN,Bloomington,A70,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/932195605,2023-07-01,
Zion Praise Foundation Inc,IN,Avon,A65,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,,,,,0,https://projects.propublica.org/nonprofits/organizations/333036687,2025-02-01,
Indianapolis Jazz Foundation Inc,IN,Indianapolis,A68,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,208138,,,,0,https://projects.propublica.org/nonprofits/organizations/351991319,2000-01-01,
Crown Hill Heritage Foundation Inc,IN,Indianapolis,A82Z,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,20383283,,,,0,https://projects.propublica.org/nonprofits/organizations/311104060,1985-04-01,
Indiana State Museum Foundation Inc,IN,Indianapolis,A540,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,11001738,,,,0,https://projects.propublica.org/nonprofits/organizations/356202818,1968-11-01,
Rv-mh Heritage Foundation Inc,IN,Elkhart,A540,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,11847739,,,,0,https://projects.propublica.org/nonprofits/organizations/351610362,1985-02-01,
Great American Songbook Foundation Inc,IN,Carmel,A68,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,9015864,,,,0,https://projects.propublica.org/nonprofits/organizations/260620716,2007-09-01,
Society Of Professional Journalists Foundation,IN,Indianapolis,A30,1,fail,,"No 990-PF filings found -- not confirmed as a private foundation. May be a public charity, or may have never filed.",,16618235,,,,0,https://projects.propublica.org/nonprofits/organizations/366106287,1965-09-01,
Henry C Ulen Foundation Inc,IN,Lebanon,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,623209,,,,0,https://projects.propublica.org/nonprofits/organizations/320319319,2014-02-01,
